,Fossil Gas,Other,Solar,Wind Onshore,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,0.2,126.69,0.04,1068.8042500000001,80.4695,1276.2037500000001,0.0,0.0,2487.25,1276.2037500000001,2487.25,-1211.0462499999999
2026-01-01 01:00:00+00:00,0.0,115.09100000000001,0.03175,1279.4137500000002,85.444,1479.9805000000001,0.0,0.0,2368.5,1479.9805000000001,2368.5,-888.5194999999999
2026-01-01 02:00:00+00:00,0.4,116.79575,0.02875,1417.39625,78.5575,1613.17825,0.0,0.0,2274.25,1613.17825,2274.25,-661.0717500000001
2026-01-01 03:00:00+00:00,0.0,104.996,0.0335,1454.2420000000002,71.631,1630.9025000000004,0.0,0.0,2195.5,1630.9025000000004,2195.5,-564.5974999999996
2026-01-01 04:00:00+00:00,0.2,91.4615,0.042,1372.8635,72.66900000000001,1537.236,0.0,0.0,2268.25,1537.236,2268.25,-731.0139999999999
2026-01-01 05:00:00+00:00,0.0,91.47274999999999,0.044,1408.39425,75.42025,1575.33125,0.0,0.0,2304.0,1575.33125,2304.0,-728.66875
2026-01-01 06:00:00+00:00,0.5,91.525,0.37575000000000003,1442.683,75.64325,1610.727,0.0,0.0,2312.0,1610.727,2312.0,-701.2729999999999
2026-01-01 07:00:00+00:00,0.4,104.8565,0.8305,1505.7359999999999,76.76925,1688.59225,0.0,0.0,2340.75,1688.59225,2340.75,-652.1577500000001
2026-01-01 08:00:00+00:00,0.4,117.875,3.87875,1569.4115000000002,76.8155,1768.38075,0.0,0.0,2373.75,1768.38075,2373.75,-605.36925
2026-01-01 09:00:00+00:00,0.4,117.83975,8.68275,1564.9859999999999,76.8785,1768.7869999999998,0.0,0.0,2428.5,1768.7869999999998,2428.5,-659.7130000000002
2026-01-01 10:00:00+00:00,0.4,118.27825,15.64075,1504.17675,77.1875,1715.68325,0.0,0.0,2545.0,1715.68325,2545.0,-829.31675
2026-01-01 11:00:00+00:00,0.3,118.349,18.012999999999998,1459.44625,78.53,1674.63825,0.0,0.0,2609.75,1674.63825,2609.75,-935.11175
2026-01-01 12:00:00+00:00,0.2,118.3125,13.33525,1438.28075,78.6095,1648.7379999999998,0.0,0.0,2731.75,1648.7379999999998,2731.75,-1083.0120000000002
2026-01-01 13:00:00+00:00,0.1,117.88525,6.232,1380.1145000000001,78.47525,1582.807,0.0,0.0,2765.25,1582.807,2765.25,-1182.443
2026-01-01 14:00:00+00:00,0.2,117.32775,1.79925,1306.68225,80.7315,1506.7407500000002,0.0,0.0,2837.75,1506.7407500000002,2837.75,-1331.0092499999998
2026-01-01 15:00:00+00:00,0.1,118.13374999999999,0.30325,1233.748,83.87125,1436.15625,0.0,0.0,2901.5,1436.15625,2901.5,-1465.34375
2026-01-01 16:00:00+00:00,0.3,117.61,0.3055,1167.902,92.17825,1378.29575,0.0,0.0,2882.5,1378.29575,2882.5,-1504.20425
2026-01-01 17:00:00+00:00,0.3,115.2185,0.3005,1105.37025,90.79225,1311.9814999999999,0.0,0.0,2781.25,1311.9814999999999,2781.25,-1469.2685000000001
2026-01-01 18:00:00+00:00,0.2,115.406,0.043,1051.26925,79.45375,1246.372,0.0,0.0,2783.5,1246.372,2783.5,-1537.128
2026-01-01 19:00:00+00:00,0.2,111.67825,0.04175,1002.10475,78.5085,1192.53325,0.0,0.0,2766.25,1192.53325,2766.25,-1573.71675
2026-01-01 20:00:00+00:00,0.0,111.50975,0.0415,979.5242499999999,78.41149999999999,1169.4869999999999,0.0,0.0,2681.25,1169.4869999999999,2681.25,-1511.7630000000001
2026-01-01 21:00:00+00:00,0.0,112.1035,0.0465,956.07275,82.89025,1151.113,0.0,0.0,2597.5,1151.113,2597.5,-1446.387
2026-01-01 22:00:00+00:00,0.4,112.363,0.041999999999999996,943.05625,83.17075,1139.032,0.0,0.0,2553.75,1139.032,2553.75,-1414.718
2026-01-01 23:00:00+00:00,0.3,112.73875,0.0465,849.31025,95.734,1058.1295,0.0,0.0,2320.25,1058.1295,2320.25,-1262.1205
2026-01-02 00:00:00+00:00,0.3,111.5915,0.0365,790.86575,91.31225,994.106,0.0,0.0,2291.0,994.106,2291.0,-1296.894
2026-01-02 01:00:00+00:00,0.0,110.1775,0.028999999999999998,702.6185,87.538,900.363,0.0,0.0,2181.25,900.363,2181.25,-1280.887
2026-01-02 02:00:00+00:00,0.4,106.9345,0.03325,599.915,87.56225,794.845,0.0,0.0,2195.0,794.845,2195.0,-1400.155
2026-01-02 03:00:00+00:00,0.1,98.45325,0.0365,498.55675,88.53075,685.6772500000001,0.0,0.0,2276.0,685.6772500000001,2276.0,-1590.3227499999998
2026-01-02 04:00:00+00:00,0.2,99.0365,0.0455,454.183,94.7185,648.1835000000001,0.0,0.0,2346.75,648.1835000000001,2346.75,-1698.5665
2026-01-02 05:00:00+00:00,0.1,113.9775,0.0485,447.5775,110.231,671.9345,0.0,0.0,2620.5,671.9345,2620.5,-1948.5655000000002
2026-01-02 06:00:00+00:00,0.5,146.6675,0.4325,433.077,124.589,705.2660000000001,0.0,0.0,2885.5,705.2660000000001,2885.5,-2180.234
2026-01-02 07:00:00+00:00,0.4,151.60325,1.11375,443.06874999999997,136.323,732.50875,0.0,0.0,3022.0,732.50875,3022.0,-2289.49125
2026-01-02 08:00:00+00:00,0.4,145.58425,7.1690000000000005,456.73825,135.79325,745.6847499999999,0.0,0.0,3075.75,745.6847499999999,3075.75,-2330.06525
2026-01-02 09:00:00+00:00,0.4,135.46925,18.69375,480.328,135.39325,770.2842499999999,0.0,0.0,3122.25,770.2842499999999,3122.25,-2351.9657500000003
2026-01-02 10:00:00+00:00,0.4,131.80425,31.3315,494.47925,135.20725,793.22225,0.0,0.0,3156.75,793.22225,3156.75,-2363.52775
