,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Hard coal,Fossil Gas,Fossil Oil,Other
2026-01-01 00:00:00+00:00,0.0,45.54985638079606,0.6114074681986048,0.0,32.91410203802489,0.0,28.175694159485705,0.0,223.1637258924908,0.0,42.08521406100397
2026-01-01 01:00:00+00:00,0.0,54.00225988700565,0.0,0.0,44.71476997578692,0.0,0.0,0.0,303.790799031477,0.0,61.49217110573042
2026-01-01 02:00:00+00:00,0.0,39.82801135355685,0.0,0.0,54.8210040801845,0.0,0.0,0.0,347.598279226539,0.0,76.2527053397197
2026-01-01 03:00:00+00:00,0.0,18.614843892641957,0.0,0.0,36.337958736534596,0.0,0.0,0.0,203.8158207047654,0.0,46.48137666605806
2026-01-01 04:00:00+00:00,0.0,7.626860354654845,0.0,0.0,12.276955351488283,0.0,11.977517416086132,0.0,64.59052406586447,0.0,14.77814281190627
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,2.731921487603306,29.651342975206614,0.0,0.0,27.019369834710744,0.0,1.6991219008264464,0.0,104.51265495867769,0.0,27.885588842975206
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,89.41764660073204,11.782688264153883,0.0,0.0,7.725955922435948,0.0,0.0,0.0,36.28050774861771,0.0,10.29320146406043
2026-01-01 11:00:00+00:00,168.14150101419878,43.34182555780933,0.0,0.0,16.62020283975659,0.0,0.0,0.0,80.99991886409735,0.0,22.896551724137932
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 15:00:00+00:00,2.7148310967144837,66.87242017584452,0.0,0.0,12.488223044886626,0.0,0.0,0.0,92.60201295696437,0.0,14.572512725590006
2026-01-01 16:00:00+00:00,0.0,56.222868059507356,0.0,0.4803268026989676,9.458743191610438,0.0,2.1676286480773923,0.0,72.94809365092269,0.0,10.222339647183155
2026-01-01 17:00:00+00:00,0.0,147.52144058295966,0.0,2.5672645739910314,28.817544843049326,0.0,3.8829876681614346,0.0,191.1328475336323,0.0,26.827914798206276
2026-01-01 18:00:00+00:00,0.0,142.35506916259422,0.0,2.764847179657086,31.34645489936221,0.0,5.840739667025594,0.0,205.63550898699577,0.0,29.307380104365112
2026-01-01 19:00:00+00:00,0.0,115.68545307992534,0.0,0.057483454946546754,25.953779908365856,0.0,1.4083446461903952,0.0,171.27195401323604,0.0,24.372984897335822
2026-01-01 20:00:00+00:00,0.0,106.39223926078836,0.0,0.0,17.519610734296666,0.0,1.8075788852845769,0.0,90.51798879386611,0.0,19.512582325764278
2026-01-01 21:00:00+00:00,0.0,91.62232055063913,0.0,0.0,12.018461160275319,0.0,0.0,0.0,49.58230088495575,0.0,13.526917404129794
2026-01-01 22:00:00+00:00,0.0,28.573306934714182,0.0,0.0,3.3952685551832675,0.0,0.026525535587369278,0.0,15.899406031069143,0.0,4.355492943446036
2026-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 02:00:00+00:00,0.0,37.54695132983535,0.0,0.0,4.0294011217658765,0.0,0.0,0.0,16.676135335625112,0.0,4.747512212773657
2026-01-02 03:00:00+00:00,0.0,180.9190739920248,0.0,0.0,16.83336287106779,0.0,0.0,0.0,78.17751439964555,0.0,21.820048737261853
2026-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
