,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Hard coal,Fossil Gas,Fossil Oil,Waste,Fossil Peat,Other
2026-01-01 00:00:00+00:00,0.007752311829100025,681.5237354226965,0.0,1203.777709772598,6.426081017701259,1.4603831766521695,0.0,0.0,0.0,3.981138011088276,0.0,0.0,0.0,26.8232002874349
2026-01-01 01:00:00+00:00,0.00246175313495783,243.97866240925438,0.0,378.9166271788537,0.4580536543124359,0.1073887238648242,0.0,0.0,0.0,0.29287479700157487,0.0,0.0,0.0,9.543931483578179
2026-01-01 02:00:00+00:00,0.007954174158634374,693.021480947992,0.0,931.390771398875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.379793478974335
2026-01-01 03:00:00+00:00,0.0,0.2678464334658027,0.0,0.7940462191649678,0.09866409262596049,0.023458863614354473,0.0,0.0,0.0,0.06598439112891467,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.059679307971387034,0.0,0.17616993026528055,0.0204854516501584,0.004501152656216321,0.0,0.0,0.0,0.014164157456957703,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.003711994305906944,536.7083268934624,0.0,530.6169092186549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.421051893576863
2026-01-01 06:00:00+00:00,0.002108566013184549,423.6895116720598,0.0,491.17934277681934,12.63101660058935,3.0693495130399424,0.0,0.0,0.0,8.751588166640435,0.0,0.0,0.0,12.977082704837882
2026-01-01 07:00:00+00:00,0.0060921650659953985,1172.8782397015923,0.0,1235.5823817077933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.158286425548276
2026-01-01 08:00:00+00:00,0.0011920027484403713,167.9257711920342,0.0,178.36538495669242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857651848524978
2026-01-01 09:00:00+00:00,0.014848393391496663,693.7456903178647,0.0,813.5885267868272,10.339545839978587,2.452625383131787,0.0,0.0,0.0,7.077584743242182,0.0,0.0,0.0,22.08117853556411
2026-01-01 10:00:00+00:00,0.017732263561888634,678.1102882847651,0.0,762.8978803204535,8.254661216576602,1.8842536596388884,0.0,0.0,0.0,5.68820362182947,0.0,0.0,0.0,21.571980633174523
2026-01-01 11:00:00+00:00,0.01578727411730688,607.9077816363927,0.0,678.7372241753837,7.685939870184315,1.7129781008660676,0.0,0.0,0.0,5.247503350147767,0.0,0.0,0.0,17.817785592907995
2026-01-01 12:00:00+00:00,0.011813473350932009,581.0834337741079,0.0,558.7895705241507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.865182228390587
2026-01-01 13:00:00+00:00,0.004827490387259756,336.5978080419013,0.0,371.5260010430811,4.646927313039214,1.0838537755606459,0.0,0.0,0.0,3.142719339903113,0.0,0.0,0.0,9.397862996127282
2026-01-01 14:00:00+00:00,0.003976915164430043,837.9532281973787,0.0,837.2281734688414,0.14527414416462828,0.031845653473837554,0.0,0.0,0.0,0.09580420990978136,0.0,0.0,0.0,23.916697411067133
2026-01-01 15:00:00+00:00,0.0008899756481715857,182.86573655229236,0.0,198.26863168334768,0.4606087254734145,0.10575389457060982,0.0,0.0,0.0,0.30355900230171773,0.0,0.0,0.0,5.319820166365984
